Yummy,Justin Bieber
Skechers,DripReport
Laxed (Siren Beat),BIGPP
End of Time,K391
Your Body On My Body,Natania
Stuck with U,Ariana Grande
Control,Armaan Malik
Intentions,Justin Bieber
Be Kind,Marshmello
Boyfriend,Selena Gomez
Astronomia,KLIO
"Alone, Pt. II",Alan Walker
See You,Johnny Orlando
Heading Home,Alan Walker
death bed (coffee for your head),Powfu
ON,BTS
Savage,Megan thee Stallion
Feel Me,Selena Gomez
N.R.I.,Raja Kumari
Toosie Slide,Drake
Like It Is,Kygo
Blinding Lights,The Weeknd
Forever,Justin Bieber
I'll Wait,Kygo
My Oh My,Camila Cabello
Boss Bitch,Doja Cat
In Your Eyes,The Weeknd
Black Swan,BTS
Sixteen,Natania
Only The Young,Taylor Swift
I Love Me,Demi Lovato
No Time To Die,Billie Eilish
The Box,Roddy Ricch
Magnetic,Monsta X
Filter,BTS
Rare,Selena Gomez
We are Bulletproof : the Eternal,BTS
Saved My Life,Sia
Billboard,Jonas Blue
Get Me,Justin Bieber
Physical,Dua Lipa
What If I Told You That I Love You,Ali Gatie
ily (i love you baby),Emilee
What A Man Gotta Do,Jonas Brothers
Family,The Chainsmokers
Moral Of The Story,Ashe
I Like It When You Love Me,Oh Wonder
Unfamiliar,Seeb
Didn't I,One Republic
Hold On (feat. Michel Zitron),Martin Garrix
